"","RG0","RG1","Remainder","TimePoint"
"1",16768.5043743925,13510.6235245105,2729720.8721011,"T0"
"2",100760.465692346,65129.8819255222,2018109.65238213,"T1"
"3",2083506.66689786,263869.55421081,4796623.77889133,"T2"
"4",2568333.37722912,543481.139616146,2126185.48315474,"T3"
"5",1830134.40071962,64921.8972196072,84943.702060767,"T5"
"6",11760576.0438283,211414.235909355,862009.720262305,"T6"
"7",6160648.60155093,45040.7772065871,121310.621242485,"T8"
"8",6774677.06845401,29572.1349302274,107750.796615757,"T9"
"9",6320447.6597671,16555.3516076767,70996.9886252288,"T10"
"10",10982134.5829994,3318.02887189355,129547.388128714,"T13"
"11",4707018.24477294,0,42981.7552270609,"T15"
"12",13927694.087771,153.522272547381,37152.3899564663,"T19"
